0, 0, Header, 1, 4, 480
1, 0, Start_track
1, 0, Title_t, "Untitled"
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 631579
1, 0, Marker_t, "Paino Sonata No.32"
1, 1425, Tempo, 923077
1, 1920, Marker_t, "Beethoven"
1, 3840, Tempo, 967742
1, 3840, Marker_t, "Bunji Hisamori"
1, 4680, Tempo, 923077
1, 4800, Tempo, 1000000
1, 4875, Tempo, 967742
1, 5640, Tempo, 1000000
1, 5710, Tempo, 1111111
1, 5760, Tempo, 923077
1, 5760, Marker_t, "hisamori@ bekkoame.or.jp"
1, 6720, Tempo, 1132075
1, 7192, Tempo, 2222222
1, 7260, Tempo, 674157
1, 7320, Tempo, 638298
1, 7680, Tempo, 1111111
1, 7680, Marker_t, "Mail in english only!"
1, 8160, Tempo, 750000
1, 9360, Tempo, 923077
1, 9600, Marker_t, "Thank you! "
1, 11520, Tempo, 967742
1, 12360, Tempo, 923077
1, 12480, Tempo, 1000000
1, 12565, Tempo, 967742
1, 13320, Tempo, 1000000
1, 13387, Tempo, 1111111
1, 13440, Tempo, 923077
1, 14400, Tempo, 1132075
1, 14880, Tempo, 2222222
1, 14940, Tempo, 674157
1, 15000, Tempo, 638298
1, 15360, Tempo, 1111111
1, 15840, Tempo, 750000
1, 17040, Tempo, 923077
1, 19200, Tempo, 967742
1, 20040, Tempo, 923077
1, 20160, Tempo, 1000000
1, 20250, Tempo, 967742
1, 21000, Tempo, 967742
1, 21067, Tempo, 1111111
1, 21120, Tempo, 1000000
1, 21960, Tempo, 952381
1, 25815, Tempo, 967742
1, 27720, Tempo, 952381
1, 29655, Tempo, 967742
1, 31560, Tempo, 952381
1, 33480, Tempo, 967742
1, 35400, Tempo, 952381
1, 37335, Tempo, 967742
1, 38280, Tempo, 1000000
1, 38400, Tempo, 923077
1, 40170, Tempo, 1071429
1, 40320, Tempo, 2400000
1, 40560, Tempo, 2068966
1, 40680, Tempo, 1818182
1, 41040, Tempo, 1935484
1, 41100, Tempo, 1818182
1, 41520, Tempo, 1935484
1, 43570, Tempo, 2000000
1, 43680, Tempo, 1935484
1, 44120, Tempo, 2000000
1, 44260, Tempo, 1935484
1, 44400, Tempo, 1818182
1, 44760, Tempo, 1935484
1, 44820, Tempo, 1818182
1, 45360, Tempo, 1935484
1, 47380, Tempo, 2000000
1, 48100, Tempo, 1935484
1, 48840, Tempo, 2000000
1, 49880, Tempo, 2068966
1, 49920, Tempo, 895522
1, 51720, Tempo, 923077
1, 51840, Tempo, 422535
1, 53640, Tempo, 425532
1, 53760, Tempo, 422535
1, 55560, Tempo, 425532
1, 55680, Tempo, 419580
1, 57060, Tempo, 422535
1, 57120, Tempo, 425532
1, 57240, Tempo, 441176
1, 57320, Tempo, 425532
1, 57600, Marker_t, "New Marker 10 copy"
1, 58560, Tempo, 566038
1, 59280, Tempo, 422535
1, 60240, Tempo, 441176
1, 60480, Tempo, 2608696
1, 61160, Tempo, 422535
1, 62160, Tempo, 441176
1, 62400, Tempo, 422535
1, 63000, Tempo, 425532
1, 63080, Tempo, 425532
1, 64800, Tempo, 431655
1, 65000, Tempo, 451128
1, 66070, Tempo, 454545
1, 66615, Tempo, 472441
1, 66720, Tempo, 1818182
1, 66840, Tempo, 419580
1, 68760, Tempo, 419580
1, 71940, Tempo, 422535
1, 72000, Tempo, 419580
1, 75170, Tempo, 425532
1, 75240, Tempo, 422535
1, 76620, Tempo, 431655
1, 76760, Tempo, 500000
1, 76800, Tempo, 419580
1, 77655, Tempo, 441176
1, 77760, Tempo, 422535
1, 78465, Tempo, 428571
1, 79500, Tempo, 431655
1, 80160, Tempo, 441176
1, 80360, Tempo, 447761
1, 81410, Tempo, 451128
1, 81960, Tempo, 468750
1, 82080, Tempo, 625000
1, 82320, Tempo, 425532
1, 86280, Tempo, 431655
1, 86760, Tempo, 441176
1, 87240, Tempo, 447761
1, 87600, Tempo, 461538
1, 88290, Tempo, 476190
1, 89055, Tempo, 500000
1, 89280, Tempo, 419580
1, 90120, Tempo, 461538
1, 90240, Tempo, 419580
1, 93060, Tempo, 422535
1, 93120, Tempo, 419580
1, 95960, Tempo, 425532
1, 96000, Tempo, 419580
1, 96830, Tempo, 461538
1, 97440, Tempo, 422535
1, 97860, Tempo, 425532
1, 97920, Tempo, 419580
1, 99780, Tempo, 422535
1, 99840, Tempo, 419580
1, 101700, Tempo, 422535
1, 101760, Tempo, 419580
1, 104520, Tempo, 422535
1, 104640, Tempo, 419580
1, 105490, Tempo, 461538
1, 105600, Tempo, 419580
1, 108420, Tempo, 422535
1, 108480, Tempo, 419580
1, 110340, Tempo, 422535
1, 110400, Tempo, 419580
1, 112260, Tempo, 422535
1, 113160, Tempo, 431655
